method,nll,brier,accuracy,rps,population_wd,rows
pe_demographic,1.502175581426786,0.7647767260175573,0.27743732590529246,0.1610061161499749,0.11206756462168896,3590
pe_demographic_behavior,1.497072412220696,0.7623372892573907,0.2799442896935933,0.16265705915916337,0.11943091700970063,3590
pe_history,1.4831579357719757,0.7571552386928714,0.2935933147632312,0.16127399668147327,0.1159862156934107,3590
pe_no_persona,1.5738439107081663,0.7863630649828497,0.27688022284122565,0.1713269773266675,0.13838477139830602,3590
pe_shuffled_behavior,1.5076030475151776,0.7659677483008934,0.27465181058495824,0.1638244127556186,0.116936652205202,3590
