outer_fold,method,nll,brier,accuracy,rps,population_wd,rows
1,cross_item_position,1.6428908585199073,0.8091736736661016,0.2395543175487465,0.19027842504441295,0.18832144414171897,718
1,demographic_position,1.6547707782597492,0.8159238083951008,0.23676880222841226,0.1917066991019544,0.18986687877065755,718
1,hist_gbdt,1.516531142127493,0.7681548670713371,0.28969359331476324,0.16988698197022808,0.14327709736260896,718
1,hist_gbdt_llm_hybrid,1.5149107413188583,0.7648397783140237,0.3064066852367688,0.16825073629878032,0.14291667908359584,718
1,llm_persona_history_temperature,1.623123039453666,0.803619666206318,0.266016713091922,0.18074109013255577,0.17167941133948394,718
1,llm_persona_history_uncalibrated,4.838443183702014,1.2228287173782542,0.266016713091922,0.2685616450806543,0.24290653264317796,718
1,persona_llm_hybrid,1.604877109364416,0.7968302767422802,0.28690807799442897,0.18030921882711473,0.16251157686204515,718
1,stat_history_inductive,1.6216097245713803,0.8033267927694031,0.24094707520891365,0.1828678778304238,0.16513565710295397,718
1,uniform,1.6094379124340998,0.8000000000000005,0.11281337047353761,0.17834261838440113,0.1551981468015855,718
2,cross_item_position,1.5122522489408576,0.7669778201805967,0.32590529247910865,0.17404018931650467,0.15891792313872255,718
2,demographic_position,1.5114098680352346,0.7655450736455883,0.3245125348189415,0.17372673258930194,0.15751036080595687,718
2,hist_gbdt,1.479538546501204,0.7514921021928462,0.32172701949860727,0.16480106992913587,0.12961587288465587,718
2,hist_gbdt_llm_hybrid,1.4566040858262503,0.7428500463683623,0.36629526462395545,0.16300202740655081,0.1320500580882029,718
2,llm_persona_history_temperature,1.500629102945903,0.761173051094827,0.34540389972144847,0.16927246966417722,0.15414277569647042,718
2,llm_persona_history_uncalibrated,3.7329400362187246,1.0634601467215725,0.34540389972144847,0.21988089722254775,0.18585178232208377,718
2,persona_llm_hybrid,1.4702967125396296,0.7495333098067634,0.3565459610027855,0.16431269666974113,0.138003486161122,718
2,stat_history_inductive,1.4702967090017687,0.7495333095361728,0.3565459610027855,0.16431269611499955,0.13800348620852332,718
2,uniform,1.5811564874068116,0.7936629526462398,0.22423398328690808,0.18626973073351905,0.18149013949413245,718
3,cross_item_position,1.5331932727099065,0.7729544701370143,0.3050139275766017,0.16872965064648826,0.111687730250914,718
3,demographic_position,1.5388799109368707,0.7747090659346058,0.3050139275766017,0.16936695292655246,0.11186676634231305,718
3,hist_gbdt,1.4706188011920256,0.7535153484949976,0.3161559888579387,0.15964672959512147,0.06808322903284403,718
3,hist_gbdt_llm_hybrid,1.4770297432961332,0.7537674704098538,0.34958217270194986,0.15994268388115299,0.07525030531250021,718
3,llm_persona_history_temperature,1.5407356313507496,0.7793915112707328,0.2785515320334262,0.1686390081103343,0.11217697454215295,718
3,llm_persona_history_uncalibrated,3.7687176356832355,1.1275284266188619,0.2785515320334262,0.2683842327968341,0.2340755846988425,718
3,persona_llm_hybrid,1.4916266081577412,0.756080758416165,0.3551532033426184,0.16354273111845774,0.09420275074405127,718
3,stat_history_inductive,1.4843849773929183,0.7531477670985803,0.33147632311977715,0.1629534151236804,0.08818712169158466,718
3,uniform,1.5811564874068116,0.7936629526462398,0.13231197771587744,0.17197075208913648,0.11560045769741736,718
4,cross_item_position,1.5113896295117728,0.7653180061926759,0.3370473537604457,0.17008734060911485,0.1269291714944713,718
4,demographic_position,1.514479731610748,0.7663223049650584,0.3384401114206128,0.1699603212843906,0.12691090254634252,718
4,hist_gbdt,1.522959273158839,0.7715824817259082,0.31197771587743733,0.1737926825946478,0.13535908033353516,718
4,hist_gbdt_llm_hybrid,1.4792782891091687,0.7515476256344827,0.32172701949860727,0.15966518330720622,0.09933909956138855,718
4,llm_persona_history_temperature,1.543657192264438,0.781945427903546,0.26740947075208915,0.1648631304171453,0.10787104670459197,718
4,llm_persona_history_uncalibrated,3.754392544334384,1.1428269044890147,0.26740947075208915,0.25171921428981714,0.21834141159714185,718
4,persona_llm_hybrid,1.489684646166129,0.754779271521258,0.31754874651810583,0.1602966813430308,0.09942394125301543,718
4,stat_history_inductive,1.5312345333548012,0.7732460862902518,0.34401114206128136,0.17419892149249308,0.1343233250281196,718
4,uniform,1.5811564874068116,0.7936629526462399,0.19498607242339833,0.17888811513463324,0.14949946200919947,718
5,cross_item_position,1.4860064769696348,0.7551352444488896,0.39415041782729804,0.172896983861247,0.15447661564318899,718
5,demographic_position,1.4832182863357593,0.7533608991975965,0.38997214484679665,0.17165374434528347,0.15282647282878825,718
5,hist_gbdt,1.4563851611150627,0.7504171969728299,0.2757660167130919,0.16893583446481017,0.13428205831629364,718
5,hist_gbdt_llm_hybrid,1.4254054658356974,0.7326801434943889,0.3955431754874652,0.16083009579834537,0.1305599825034659,718
5,llm_persona_history_temperature,1.4488198445426281,0.7355728643762436,0.35376044568245124,0.15910247818936032,0.1385695236440972,718
5,llm_persona_history_uncalibrated,3.782976381893209,1.0660261059737028,0.35376044568245124,0.20729350589775847,0.16651574865954188,718
5,persona_llm_hybrid,1.4420567612592246,0.7353671240610689,0.4233983286908078,0.1649367993798678,0.14600799028698153,718
5,stat_history_inductive,1.4749230402034086,0.7489612415216059,0.38579387186629527,0.17135985813496032,0.1531946422998629,718
5,uniform,1.5811564874068116,0.7936629526462399,0.2883008356545961,0.19309424326833796,0.20102939480304036,718
