method,fold,nll,brier,accuracy,rps,population_wd,rows
personadb_full,2,1.5120747159000807,0.7631314901780338,0.3593314763231198,0.1756454198556096,0.1615324020847559,718
personadb_full_uncalibrated,2,2.784629349876129,1.0188620697861002,0.3593314763231198,0.20778885692030766,0.16861442075466254,718
personadb_history_full,2,1.4976226113791218,0.7578169763249277,0.3565459610027855,0.17220471451836264,0.1590414199871765,718
personadb_history_full_uncalibrated,2,2.8693039009528554,1.0224826192160736,0.3565459610027855,0.21035693072670955,0.17663661725408888,718
personadb_history_retrieval,2,1.4996828956299983,0.7567723290034619,0.35097493036211697,0.17108127677668228,0.15931200986168426,718
personadb_history_retrieval_uncalibrated,2,3.5797458449473183,1.0878723188917954,0.35097493036211697,0.218392829402437,0.18095293694823608,718
personadb_intsum,2,1.5935491739607917,0.7948551104185748,0.2298050139275766,0.18992799933099017,0.1799915796073027,718
personadb_intsum_uncalibrated,2,5.928653787780874,1.411813506392216,0.2298050139275766,0.34363684994303606,0.30274319459293697,718
personadb_nojoin,2,1.5120747159000807,0.7631314901780338,0.3593314763231198,0.1756454198556096,0.1615324020847559,718
personadb_nojoin_uncalibrated,2,2.784629349876129,1.0188620697861002,0.3593314763231198,0.20778885692030766,0.16861442075466254,718
