method,fold,nll,brier,accuracy,rps,population_wd,rows
pe_demographic,2,1.5317731412390763,0.7684101650068994,0.27158774373259054,0.16734713659963776,0.15019827526819368,718
pe_demographic_behavior,2,1.5210963865049687,0.7631533161069045,0.31337047353760444,0.17268027088436053,0.15905600443746637,718
pe_demographic_behavior_uncalibrated,2,5.602797095687808,1.1845603043703719,0.31337047353760444,0.2610431701785333,0.18578865653432064,718
pe_demographic_uncalibrated,2,5.954559465687147,1.3009278413978425,0.27158774373259054,0.29364915202696923,0.2834412613727967,718
pe_history,2,1.5119815693306813,0.7599803434287122,0.3370473537604457,0.17132366566319154,0.15997672991388048,718
pe_history_uncalibrated,2,5.38877185031971,1.164867085261526,0.3370473537604457,0.25993043732613225,0.2132421169821525,718
pe_no_persona,2,1.564147908441445,0.7815850935494665,0.24373259052924792,0.17775055645492116,0.1682834783010259,718
pe_no_persona_uncalibrated,2,4.988804625844412,1.244105320363488,0.24373259052924792,0.2766004103152015,0.2935809484812771,718
pe_shuffled_behavior,2,1.5435132977077275,0.7725091351790839,0.3022284122562674,0.17653716503689126,0.16615817716685788,718
pe_shuffled_behavior_uncalibrated,2,5.4242804269349945,1.2259037230168126,0.3022284122562674,0.2690649701403645,0.22174727571682695,718
