method,fold,nll,brier,accuracy,rps,population_wd,rows
pe_demographic,1,1.5952785253235766,0.7947353786487265,0.2785515320334262,0.1754694913137449,0.1511276873528518,718
pe_demographic_behavior,1,1.5899486741671836,0.7911035039988156,0.2883008356545961,0.17572453764719992,0.1557209217932657,718
pe_demographic_behavior_uncalibrated,1,6.34851718416138,1.27329096545521,0.2883008356545961,0.27631613008763184,0.22898317497749957,718
pe_demographic_uncalibrated,1,5.0431157221491185,1.277447759828161,0.2785515320334262,0.265785758240951,0.2030263314915271,718
pe_history,1,1.588380116894938,0.7928011574214953,0.2966573816155989,0.1801487537006807,0.16434478874789846,718
pe_history_uncalibrated,1,4.869032094051687,1.1939060339122438,0.2966573816155989,0.2793340613043449,0.22161755655104604,718
pe_no_persona,1,1.6057557187135285,0.7999494939692428,0.2395543175487465,0.17809647541102855,0.16115237760797352,718
pe_no_persona_uncalibrated,1,4.190384134084771,1.3092556535486846,0.2395543175487465,0.3275396673660806,0.3095220669543044,718
pe_shuffled_behavior,1,1.5977202179355343,0.7972320952503094,0.27019498607242337,0.17950962167855686,0.1605446672604423,718
pe_shuffled_behavior_uncalibrated,1,4.999704768749481,1.238884867251412,0.27019498607242337,0.28612768855730764,0.2222795147971814,718
