method,fold,nll,brier,accuracy,rps,population_wd,rows
pe_demographic,4,1.582835021364273,0.7956282977438633,0.24094707520891365,0.16734659358010773,0.11033092102758382,718
pe_demographic_behavior,4,1.5485660489558644,0.7811219879665878,0.2924791086350975,0.1677127807785637,0.11357875520555825,718
pe_demographic_behavior_uncalibrated,4,5.863835380899334,1.2423595113763495,0.2924791086350975,0.2763179196675478,0.21467637838247078,718
pe_demographic_uncalibrated,4,5.105040943036535,1.267718355167334,0.24094707520891365,0.26906766351224576,0.22940070930085016,718
pe_history,4,1.5467137511105509,0.7815676740673311,0.266016713091922,0.17149055968406998,0.11231500845819467,718
pe_history_uncalibrated,4,4.9500272777508245,1.241835256639027,0.266016713091922,0.28441620890301245,0.2018352545665978,718
pe_no_persona,4,1.6132491761781123,0.8070389157372355,0.22284122562674094,0.16819557013570074,0.11903435965437262,718
pe_no_persona_uncalibrated,4,5.429847049128457,1.2952376155532512,0.22284122562674094,0.270703584564986,0.26214492323606536,718
pe_shuffled_behavior,4,1.5759785275490032,0.7942042934700898,0.23537604456824512,0.1723078681599026,0.11569025893263596,718
pe_shuffled_behavior_uncalibrated,4,5.312125130916011,1.3023238177862473,0.23537604456824512,0.2875419725239763,0.18588586405975088,718
