method,fold,nll,brier,accuracy,rps,population_wd,rows
pe_demographic,4,1.5209063460982069,0.7789833683806197,0.3022284122562674,0.16344676089672172,0.09833869353125813,718
pe_demographic_behavior,4,1.491120107025788,0.7664646926063257,0.3022284122562674,0.161404991130722,0.09204611284841499,718
pe_demographic_behavior_uncalibrated,4,4.405143988571511,1.154803305759544,0.3022284122562674,0.2531501913102097,0.19782394927347427,718
pe_demographic_uncalibrated,4,4.830482093674833,1.206479784505194,0.3022284122562674,0.2728152951399364,0.24307101282848081,718
pe_history,4,1.4813206963500751,0.7624841814808259,0.29526462395543174,0.16082149898231582,0.09253699707166851,718
pe_history_uncalibrated,4,3.96744691410199,1.1387069539091075,0.29526462395543174,0.24644187856797,0.21817235107866453,718
pe_no_persona,4,1.567159211076791,0.7828789260222914,0.2743732590529248,0.16836989604001656,0.11348255763185082,718
pe_no_persona_uncalibrated,4,5.108613810467311,1.3241597696952123,0.2743732590529248,0.2435404895735987,0.2359706154250592,718
pe_shuffled_behavior,4,1.5052142717293193,0.7699583899381373,0.2841225626740947,0.16261736899457263,0.08963926522021728,718
pe_shuffled_behavior_uncalibrated,4,4.1481174282153335,1.1588122158975769,0.2841225626740947,0.2544036101751289,0.22660560299158986,718
