method,fold,nll,brier,accuracy,rps,population_wd,rows
personadb_full,1,1.63093390660288,0.8187311919408802,0.22701949860724233,0.1819054672244738,0.1549650395331984,718
personadb_full_uncalibrated,1,3.711175862730888,1.192543332116039,0.22701949860724233,0.25523724729458064,0.19484608086958294,718
personadb_history_full,1,1.6346595748113966,0.8185281010633718,0.2395543175487465,0.18148482893073875,0.15899293889882563,718
personadb_history_full_uncalibrated,1,3.92168125174709,1.1702339862804003,0.2395543175487465,0.25860276193252996,0.1965210010179299,718
personadb_history_retrieval,1,1.6281554551511428,0.8164549433498752,0.22841225626740946,0.18490674351301345,0.16855726912673685,718
personadb_history_retrieval_uncalibrated,1,4.183999061081707,1.247548625809877,0.22841225626740946,0.3035867455437201,0.2429427600066832,718
personadb_intsum,1,1.583934100932196,0.7900826698867959,0.2395543175487465,0.1743405798995298,0.14387383037094548,718
personadb_intsum_uncalibrated,1,4.828975738428453,1.3491356149665445,0.2395543175487465,0.2565341805408436,0.20001589801263073,718
personadb_nojoin,1,1.63093390660288,0.8187311919408802,0.22701949860724233,0.1819054672244738,0.1549650395331984,718
personadb_nojoin_uncalibrated,1,3.711175862730888,1.192543332116039,0.22701949860724233,0.25523724729458064,0.19484608086958294,718
