method,k,split,item_pool,domain,accuracy,mae,nll,brier,rps,accuracy_std,mae_std,nll_std,brier_std,rps_std,n_seeds
direct_calibrated,5,test,unseen,Environment,0.19597069597069597,0.37591575091575097,1.9210007601981378,0.9228446790085408,0.19721312072049071,,,,,,1
direct_calibrated,5,test,unseen,Role of Government,0.21886446886446886,0.394078144078144,2.114370741564054,0.9262693303164309,0.2240219198176299,,,,,,1
direct_calibrated,5,test,unseen,Social Inequality,0.27247191011235955,0.32303370786516855,1.7059958018317107,0.8307701365391605,0.1768232988082944,,,,,,1
direct_calibrated,5,test,unseen,Work Orientations,0.23484848484848486,0.33475378787878785,1.9248478045667894,0.8888605183409726,0.18850823837281244,,,,,,1
direct_calibrated,5,test,unseen,macro,0.23053888994900232,0.35694534768446284,1.9165537770401728,0.8921861660512762,0.19664164442980686,,,,,,1
direct_raw,5,test,unseen,Environment,0.18040293040293043,0.38255494505494503,4.726196290810689,1.1245149843271751,0.24271042239467716,,,,,,1
direct_raw,5,test,unseen,Role of Government,0.23168498168498167,0.38896520146520147,3.8044204422542207,1.002389496751659,0.2332901486700951,,,,,,1
direct_raw,5,test,unseen,Social Inequality,0.23501872659176032,0.3398876404494382,3.951783159119082,1.0020581622923157,0.2011286787376502,,,,,,1
direct_raw,5,test,unseen,Work Orientations,0.18371212121212122,0.3894412878787879,4.700150133554412,1.067914311169086,0.23433874350496708,,,,,,1
direct_raw,5,test,unseen,macro,0.20770468997294841,0.3752122687120931,4.295637506434601,1.049219238635059,0.22786699832684737,,,,,,1
direct_scalar,5,test,unseen,Environment,0.19505494505494506,0.3676739926739927,1.8509704544775132,0.8929932377768521,0.19100866447073273,,,,,,1
direct_scalar,5,test,unseen,Role of Government,0.2518315018315018,0.35531135531135527,1.6386099685170767,0.8333554313203392,0.19242170852108614,,,,,,1
direct_scalar,5,test,unseen,Social Inequality,0.26217228464419473,0.3022003745318352,1.622707057197294,0.815780234418241,0.16340202056884687,,,,,,1
direct_scalar,5,test,unseen,Work Orientations,0.22537878787878787,0.35582386363636365,1.7906980832307,0.87138454366827,0.1886742919814396,,,,,,1
direct_scalar,5,test,unseen,macro,0.23360937985235736,0.3452523965383867,1.725746390855646,0.8533783617959256,0.18387667138552632,,,,,,1
