method,regime,k,n_respondents,n_forward_passes,elapsed_seconds,gpu_hours_per_1k,latency_ms_per_respondent,peak_memory_gib
raw_selected,R3,5,207,4140,195.22909283498302,0.2619821428274061,943.1357141786619,0.21911096572875977
raw_mean,R3,5,207,4140,193.8991086280439,0.2601974082501931,936.7106697006952,0.21911096572875977
input_centric,R3,5,207,4140,225.22793546901084,0.3022382386862733,1088.0576592705838,0.21911096572875977
response_centric,R3,5,207,4140,136.03569790301844,0.18254924570990128,657.1772845556446,0.21911096572875977
sentence,R3,5,207,4140,84.138430547202,0.11290718001503222,406.46584805411595,0.20080041885375977
mixed_allocation,R3,5,207,4140,980.337565591849,1.315536185711016,4735.930268559658,0.0
mixed_allocation,R3,5,207,4140,872.6174719131143,1.1709842618265087,4215.543342575432,0.0
mixed_allocation,R3,5,207,4140,764.8973782343794,1.0264323379420013,3695.156416591205,0.0
