method,fold,nll,brier,accuracy,rps,population_wd,rows
personadb_full,5,1.4397671552815676,0.733694919803558,0.3983286908077994,0.16482433530276447,0.13962538793055546,718
personadb_full_uncalibrated,5,2.8126068842012053,0.9664224066100296,0.3983286908077994,0.1868692186821746,0.10340810741162484,718
personadb_history_full,5,1.4527238594147134,0.7416644681998904,0.35236768802228413,0.16460431183677557,0.14116692424215604,718
personadb_history_full_uncalibrated,5,3.2590687548731543,1.0630028661660083,0.35236768802228413,0.20880256770328118,0.14517765546089292,718
personadb_history_retrieval,5,1.4411623577501564,0.7334553545087547,0.4136490250696379,0.1620120955335223,0.13599523461506657,718
personadb_history_retrieval_uncalibrated,5,3.633240955914247,1.004649552971828,0.4136490250696379,0.20466867996293633,0.13714205821547928,718
personadb_intsum,5,1.5472475272057047,0.7780599051234094,0.33008356545961004,0.18390553965222012,0.1805559486443193,718
personadb_intsum_uncalibrated,5,4.732727570891569,1.1935583219051418,0.33008356545961004,0.25435108195577216,0.19724677444258348,718
personadb_nojoin,5,1.4397671552815676,0.733694919803558,0.3983286908077994,0.16482433530276447,0.13962538793055546,718
personadb_nojoin_uncalibrated,5,2.8126068842012053,0.9664224066100296,0.3983286908077994,0.1868692186821746,0.10340810741162484,718
